"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"22145","229802_at",3.37910679238541,3.77692948515794,15.1990672796619,8.02299957991601e-26,4.38657502031908e-21,48.0630685012665,NA,NA
"19492","225548_at",-2.0846303955152,6.54254460616599,-13.420141182049,1.35793926161632e-22,3.71226645644361e-18,40.8423132303943,NA,NA
"6894","204475_at",6.778509931088,5.51546088585275,13.0843074621196,5.77142208326362e-22,7.88881256006095e-18,39.4328601301237,"MMP1","matrix metallopeptidase 1"
"7796","205828_at",4.58993519380698,3.89597598746331,13.1198462332453,4.94891823380348e-22,7.88881256006095e-18,39.5826800646839,"MMP3","matrix metallopeptidase 3"
"19576","225681_at",3.55193252286752,7.18003805886978,12.7812423214946,2.15419447802924e-21,2.35561166172498e-17,38.1489277509082,NA,NA
"21314","228400_at",-2.31099429951098,6.57005546087148,-12.7331745083887,2.657220111967e-21,2.42139182702993e-17,37.9442641050655,NA,NA
"21610","228865_at",-2.17319879493593,8.66539181214142,-12.5425617236056,6.12300733943277e-21,4.78250608976409e-17,37.1299601239076,NA,NA
"11387","211981_at",1.72298943563247,6.15833188452895,12.3551528671032,1.39672636884642e-20,9.54575177708476e-17,36.3251916754325,"COL4A1","collagen type IV alpha 1 chain"
"7578","205479_s_at",2.54725516125266,7.01488988318515,12.3069316639641,1.72795565501076e-20,1.04973306041903e-16,36.1174668282098,"PLAU","plasminogen activator, urokinase"
"8835","207655_s_at",-1.66569828174286,8.25355088875936,-12.2387604535468,2.33547484919033e-20,1.21713951761927e-16,35.8233518778054,"BLNK","B cell linker"
"15952","219476_at",-2.28871807746786,8.43466035136764,-12.2280538200826,2.44874891519194e-20,1.21713951761927e-16,35.777111980112,"C1orf116","chromosome 1 open reading frame 116"
"7329","205114_s_at",2.73903231633455,6.12158119581635,12.0979394712336,4.35846858907903e-20,1.63310108752082e-16,35.2141497169579,"CCL3","C-C motif chemokine ligand 3"
"7330","205114_s_at",2.73903231633455,6.12158119581635,12.0979394712336,4.35846858907903e-20,1.63310108752082e-16,35.2141497169579,"CCL3L1","C-C motif chemokine ligand 3 like 1"
